time,x,y,z,
12,-1.0039062,-0.087890625,-0.24023438,
14,-1.0102539,-0.09423828,-0.23925781,
30,-1.0097656,-0.08984375,-0.23291016,
41,-1.0087891,-0.078125,-0.22265625,
49,-1.0117188,-0.07519531,-0.22216797,
52,-1.0097656,-0.07519531,-0.22265625,
73,-1.0097656,-0.07714844,-0.21923828,
76,-1.0092773,-0.079589844,-0.22167969,
87,-1.0048828,-0.07763672,-0.22167969,
88,-1.0063477,-0.07324219,-0.21728516,
106,-1.0136719,-0.06933594,-0.21240234,
107,-1.0126953,-0.07080078,-0.22070312,
120,-1.0039062,-0.07470703,-0.22314453,
121,-1.0053711,-0.076660156,-0.21533203,
131,-1.0039062,-0.06933594,-0.21289062,
154,-1.0058594,-0.06689453,-0.2006836,
155,-1.0043945,-0.07373047,-0.1977539,
167,-1.0068359,-0.08642578,-0.19433594,
188,-1.0097656,-0.091796875,-0.2055664,
191,-1.0043945,-0.08105469,-0.21240234,
200,-1.0043945,-0.056152344,-0.21972656,
201,-1.0112305,-0.03857422,-0.22998047,
211,-1.0117188,-0.043945312,-0.23388672,
220,-1.0068359,-0.05810547,-0.24121094,
232,-1.0083008,-0.067871094,-0.23291016,
243,-1.0136719,-0.06591797,-0.2265625,
254,-1.0141602,-0.064453125,-0.2290039,
265,-1.0146484,-0.06933594,-0.22705078,
278,-1.0107422,-0.07519531,-0.22363281,
279,-1.0092773,-0.080078125,-0.22851562,
289,-1.0092773,-0.07519531,-0.22998047,
300,-1.0092773,-0.075683594,-0.22753906,
310,-1.0112305,-0.07373047,-0.22949219,
321,-1.0136719,-0.07324219,-0.2265625,
333,-1.0112305,-0.07421875,-0.23095703,
344,-1.0078125,-0.07421875,-0.23095703,
356,-1.0107422,-0.07324219,-0.23144531,
358,-1.0087891,-0.075683594,-0.23144531,
368,-1.0097656,-0.076171875,-0.23144531,
379,-1.0078125,-0.07763672,-0.2319336,
401,-1.0087891,-0.08300781,-0.23535156,
402,-1.0063477,-0.079589844,-0.234375,
426,-1.0087891,-0.07373047,-0.23291016,
428,-1.0073242,-0.068359375,-0.2290039,
470,-1.0112305,-0.063964844,-0.22021484,
491,-1.0166016,-0.060546875,-0.22021484,
495,-1.0087891,-0.060058594,-0.21533203,
519,-1.0083008,-0.06347656,-0.21484375,
541,-1.0102539,-0.06982422,-0.22021484,
542,-1.0068359,-0.075683594,-0.2290039,
551,-1.0078125,-0.08203125,-0.23046875,
562,-1.0097656,-0.07910156,-0.22851562,
564,-1.0073242,-0.07910156,-0.22753906,
571,-1.0092773,-0.08251953,-0.21582031,
581,-1.0141602,-0.07421875,-0.20458984,
583,-1.0175781,-0.068359375,-0.21289062,
603,-1.0146484,-0.07519531,-0.21777344,
605,-1.0141602,-0.09277344,-0.21533203,
620,-1.0205078,-0.06933594,-0.2109375,
638,-1.0239258,-0.07714844,-0.20751953,
640,-1.0166016,-0.067871094,-0.22509766,
641,-1.0019531,-0.064941406,-0.23779297,
649,-0.99072266,-0.071777344,-0.24560547,
659,-0.9941406,-0.078125,-0.25683594,
661,-0.9946289,-0.07519531,-0.2631836,
671,-0.9946289,-0.068847656,-0.26416016,
673,-1.0,-0.06298828,-0.2631836,
683,-1.0053711,-0.06347656,-0.2578125,
694,-1.0063477,-0.07128906,-0.25683594,
696,-1.0092773,-0.07080078,-0.25634766,
709,-1.0053711,-0.07080078,-0.2553711,
711,-1.0039062,-0.07080078,-0.25146484,
720,-1.0043945,-0.07080078,-0.24902344,
728,-1.0063477,-0.072753906,-0.25146484,
741,-1.0073242,-0.07324219,-0.24707031,
743,-1.0087891,-0.072753906,-0.2397461,
752,-1.0112305,-0.07373047,-0.24072266,
763,-1.0112305,-0.07714844,-0.23486328,
773,-1.0112305,-0.07519531,-0.23583984,
784,-1.0087891,-0.07861328,-0.2368164,
795,-1.0107422,-0.076171875,-0.23876953,
807,-1.0092773,-0.07373047,-0.24169922,
819,-1.0087891,-0.07128906,-0.24267578,
822,-1.0058594,-0.072753906,-0.24658203,
831,-1.003418,-0.06933594,-0.2421875,
840,-1.0053711,-0.06689453,-0.23876953,
855,-1.0083008,-0.06347656,-0.22509766,
875,-1.0097656,-0.067871094,-0.21972656,
878,-1.0102539,-0.06982422,-0.21826172,
888,-1.0029297,-0.076660156,-0.21923828,
897,-1.0029297,-0.072753906,-0.21582031,
900,-1.0043945,-0.07421875,-0.21826172,
909,-1.0043945,-0.072753906,-0.22021484,
921,-1.0092773,-0.071777344,-0.22021484,
931,-1.0078125,-0.07373047,-0.22753906,
942,-1.0102539,-0.07470703,-0.22949219,
954,-1.0141602,-0.080078125,-0.2319336,
977,-1.0136719,-0.08203125,-0.23583984,
982,-1.0083008,-0.075683594,-0.2368164,
989,-1.0058594,-0.07763672,-0.2397461,
992,-1.0048828,-0.08300781,-0.2397461,
1001,-1.003418,-0.07763672,-0.24023438,
1021,-1.0029297,-0.07421875,-0.24169922,
1037,-1.0048828,-0.07470703,-0.23095703,
1044,-1.0073242,-0.071777344,-0.23339844,
1064,-1.0073242,-0.068847656,-0.23388672,
1067,-1.0092773,-0.067871094,-0.23632812,
1077,-1.0073242,-0.07080078,-0.23876953,
1079,-1.0073242,-0.07421875,-0.23730469,
1088,-1.0092773,-0.07470703,-0.23828125,
1110,-1.0087891,-0.076660156,-0.2421875,
1112,-1.0107422,-0.07519531,-0.24316406,
1121,-1.0083008,-0.07373047,-0.23925781,
1132,-1.0053711,-0.07421875,-0.234375,
1134,-1.0102539,-0.075683594,-0.2290039,
1144,-1.0112305,-0.076171875,-0.22802734,
1155,-1.0087891,-0.07910156,-0.2319336,
1165,-1.0097656,-0.076171875,-0.22998047,
1189,-1.0083008,-0.07128906,-0.22705078,
1191,-1.0078125,-0.06640625,-0.22509766,
1201,-1.0112305,-0.072265625,-0.22607422,
1211,-1.0068359,-0.07128906,-0.22265625,
1237,-1.0053711,-0.07324219,-0.2241211,
1261,-1.0107422,-0.06542969,-0.22607422,
1281,-1.0073242,-0.06347656,-0.23095703,
1286,-1.0063477,-0.064941406,-0.23144531,
1292,-1.0053711,-0.06689453,-0.23535156,
1294,-1.0053711,-0.0703125,-0.23339844,
