time,x,y,z,
29,-0.99072266,-0.17138672,0.06933594,
30,-0.9897461,-0.16552734,0.07373047,
33,-0.9916992,-0.16845703,0.079589844,
44,-0.98779297,-0.17285156,0.09716797,
50,-0.98779297,-0.15576172,0.109375,
51,-0.9916992,-0.1459961,0.12158203,
57,-0.99121094,-0.14111328,0.13623047,
62,-1.0029297,-0.123535156,0.14990234,
72,-1.0073242,-0.12548828,0.16259766,
84,-1.0068359,-0.1303711,0.18066406,
95,-0.9995117,-0.12792969,0.1977539,
118,-0.99609375,-0.1171875,0.21289062,
130,-0.9951172,-0.104003906,0.22265625,
131,-1.0004883,-0.0859375,0.22753906,
151,-1.0048828,-0.06738281,0.23535156,
163,-1.0063477,-0.07324219,0.23388672,
165,-1.0092773,-0.09667969,0.22314453,
174,-1.003418,-0.123535156,0.21142578,
199,-0.99853516,-0.12841797,0.19189453,
201,-0.9892578,-0.12646484,0.17529297,
231,-0.9868164,-0.12890625,0.16113281,
232,-0.9902344,-0.12890625,0.14990234,
235,-0.9926758,-0.13476562,0.140625,
243,-0.99609375,-0.14160156,0.13330078,
245,-0.99365234,-0.15771484,0.123535156,
265,-0.9868164,-0.16308594,0.11816406,
266,-0.9868164,-0.15234375,0.11669922,
268,-0.99609375,-0.15722656,0.109375,
278,-1.0068359,-0.1694336,0.09814453,
279,-0.99853516,-0.18115234,0.088378906,
286,-0.9873047,-0.171875,0.09472656,
310,-0.984375,-0.17285156,0.08691406,
313,-0.9819336,-0.17626953,0.07519531,
344,-0.98046875,-0.16308594,0.072265625,
345,-0.9921875,-0.15332031,0.07128906,
355,-1.0,-0.16308594,0.0703125,
358,-0.99316406,-0.17529297,0.072265625,
376,-0.99316406,-0.1772461,0.080078125,
389,-0.9970703,-0.17578125,0.09033203,
391,-0.99609375,-0.18359375,0.092285156,
399,-0.9951172,-0.171875,0.09716797,
401,-0.99560547,-0.16113281,0.10253906,
411,-0.99609375,-0.15917969,0.10253906,
423,-0.9941406,-0.16552734,0.10498047,
425,-0.9941406,-0.16601562,0.10839844,
433,-0.99316406,-0.15917969,0.107421875,
444,-0.9926758,-0.15039062,0.11035156,
455,-0.9921875,-0.13671875,0.11376953,
467,-0.99658203,-0.12597656,0.11669922,
490,-1.0024414,-0.13427734,0.11816406,
491,-0.9995117,-0.14550781,0.11669922,
505,-0.9970703,-0.12841797,0.122558594,
506,-0.99609375,-0.12011719,0.12695312,
522,-1.0004883,-0.1274414,0.12646484,
536,-1.0102539,-0.13183594,0.1328125,
537,-1.0058594,-0.13720703,0.13378906,
548,-0.99853516,-0.14111328,0.13720703,
557,-0.9902344,-0.13964844,0.14208984,
569,-0.9848633,-0.13769531,0.14697266,
580,-0.98291016,-0.12548828,0.15527344,
581,-0.9980469,-0.11279297,0.16552734,
602,-1.0048828,-0.088378906,0.17773438,
614,-1.0102539,-0.072753906,0.18847656,
616,-1.0146484,-0.10595703,0.19726562,
625,-1.0053711,-0.12988281,0.20703125,
636,-0.9970703,-0.12548828,0.20507812,
647,-1.0,-0.11767578,0.19042969,
658,-1.0048828,-0.12695312,0.18945312,
660,-1.0039062,-0.12988281,0.1772461,
681,-0.9873047,-0.122558594,0.16455078,
683,-0.9770508,-0.11035156,0.16357422,
692,-0.97802734,-0.109375,0.16015625,
