time,heading,pitch,roll,yaw,
31,211.95149,162.11176,-70.41818,211.95149,
32,211.71658,162.32211,-70.80922,211.71658,
36,211.50186,162.51733,-71.17628,211.50186,
39,211.27203,162.69606,-71.511925,211.27203,
54,211.0069,162.86932,-71.820625,211.0069,
56,210.74773,163.04083,-72.10604,210.74773,
78,210.51305,163.21288,-72.375435,210.51305,
79,210.38896,163.37851,-72.62354,210.38896,
90,210.26625,163.6503,-73.005424,210.26625,
100,210.21182,163.74203,-73.10427,210.21182,
111,210.13832,163.80461,-73.13932,210.13832,
122,210.11421,163.86833,-73.164116,210.11421,
135,210.25784,163.92986,-73.20674,210.25784,
146,210.5361,163.97325,-73.26884,210.5361,
160,210.66219,164.02325,-73.354126,210.66219,
162,210.45647,164.10143,-73.454666,210.45647,
169,210.03368,164.20338,-73.551575,210.03368,
180,209.53224,164.31735,-73.638596,209.53224,
191,209.05417,164.43193,-73.723595,209.05417,
202,208.60678,164.54846,-73.8179,208.60678,
214,208.21005,164.6699,-73.92198,208.21005,
225,207.86313,164.79295,-74.031296,207.86313,
237,207.52843,164.91615,-74.14212,207.52843,
239,207.17451,165.03983,-74.25055,207.17451,
248,206.80045,165.17216,-74.36429,206.80045,
259,206.43085,165.31097,-74.4835,206.43085,
270,206.08337,165.4498,-74.602776,206.08337,
281,205.79654,165.58289,-74.715675,205.79654,
292,205.54904,165.71326,-74.82895,205.54904,
303,205.30623,165.84619,-74.94223,205.30623,
315,205.05652,165.98424,-75.062775,205.05652,
317,204.77684,166.12625,-75.18446,204.77684,
326,204.46443,166.27722,-75.31214,204.46443,
337,204.17786,166.4275,-75.43484,204.17786,
349,203.93893,166.57146,-75.54616,203.93893,
360,203.76308,166.69995,-75.64813,203.76308,
371,203.60109,166.81543,-75.74356,203.60109,
394,203.37857,166.92853,-75.83362,203.37857,
396,203.06361,167.04352,-75.91574,203.06361,
404,202.68256,167.1578,-75.987885,202.68256,
408,202.27034,167.26947,-76.05555,202.27034,
417,201.86206,167.37999,-76.118576,201.86206,
428,201.46593,167.48639,-76.179855,201.46593,
438,201.08078,167.58742,-76.24173,201.08078,
461,200.75536,167.67592,-76.29602,200.75536,
463,200.45876,167.75514,-76.34649,200.45876,
