time,heading,pitch,roll,yaw,
17,165.68462,-176.22556,-73.57145,165.68462,
19,165.76607,-176.1969,-73.59093,165.76607,
21,165.85878,-176.16869,-73.61146,165.85878,
30,165.96323,-176.13924,-73.6295,165.96323,
41,166.08162,-176.11125,-73.64337,166.08162,
52,166.21216,-176.08086,-73.65499,166.21216,
63,166.3531,-176.04808,-73.66261,166.3531,
74,166.51718,-176.01694,-73.664345,166.51718,
87,166.70723,-175.98718,-73.66049,166.70723,
88,166.91705,-175.96199,-73.651085,166.91705,
97,167.13779,-175.93883,-73.63526,167.13779,
108,167.34935,-175.91533,-73.61277,167.34935,
119,167.54333,-175.8911,-73.58526,167.54333,
130,167.70717,-175.8645,-73.55072,167.70717,
142,167.83548,-175.8362,-73.51153,167.83548,
155,167.91376,-175.80498,-73.46715,167.91376,
165,167.92928,-175.76811,-73.41878,167.92928,
167,167.90022,-175.7294,-73.365845,167.90022,
176,167.83078,-175.69101,-73.30945,167.83078,
187,167.64613,-175.59297,-73.27915,167.64613,
199,167.4523,-175.51422,-73.240715,167.4523,
209,167.25806,-175.45352,-73.1932,167.25806,
221,167.07523,-175.41661,-73.12709,167.07523,
232,166.88782,-175.37872,-73.058105,166.88782,
244,166.71918,-175.34477,-72.9874,166.71918,
246,166.57921,-175.31683,-72.9163,166.57921,
255,166.46028,-175.28798,-72.83746,166.46028,
278,166.376,-175.26355,-72.758705,166.376,
280,166.3176,-175.24184,-72.67573,166.3176,
288,166.28044,-175.2234,-72.5905,166.28044,
300,166.25955,-175.21136,-72.50423,166.25955,
311,166.23616,-175.19696,-72.418236,166.23616,
323,166.22047,-175.18233,-72.33498,166.22047,
324,166.21445,-175.16853,-72.25151,166.21445,
334,166.2103,-175.15369,-72.16844,166.2103,
357,166.20154,-175.13857,-72.0938,166.20154,
359,166.17448,-175.12071,-72.02198,166.17448,
380,166.13078,-175.10045,-71.95355,166.13078,
381,166.07687,-175.07921,-71.88794,166.07687,
390,166.01672,-175.05824,-71.82647,166.01672,
402,165.93779,-175.03003,-71.74688,165.93779,
405,165.84685,-175.00256,-71.67446,165.84685,
412,165.75864,-174.97699,-71.611465,165.75864,
436,165.6724,-174.95308,-71.55324,165.6724,
439,165.60205,-174.93338,-71.49799,165.60205,
446,165.55275,-174.91785,-71.44497,165.55275,
458,165.51923,-174.90213,-71.396065,165.51923,
468,165.50215,-174.88866,-71.34999,165.50215,
491,165.50832,-174.87834,-71.30466,165.50832,
497,165.52989,-174.8704,-71.2593,165.52989,
505,165.56224,-174.86311,-71.21583,165.56224,
508,165.59294,-174.85359,-71.17374,165.59294,
517,165.61295,-174.8423,-71.13272,165.61295,
535,165.62215,-174.83002,-71.09528,165.62215,
541,165.6241,-174.81711,-71.06032,165.6241,
553,165.62921,-174.80635,-71.027504,165.62921,
560,165.63911,-174.79782,-70.99465,165.63911,
570,165.6494,-174.79057,-70.96173,165.6494,
573,165.64713,-174.78122,-70.930565,165.64713,
582,165.64021,-174.76994,-70.90097,165.64021,
593,165.63136,-174.75978,-70.872635,165.63136,
604,165.61314,-174.74689,-70.84346,165.61314,
617,165.59145,-174.73114,-70.80953,165.59145,
627,165.558,-174.71303,-70.77513,165.558,
638,165.5267,-174.69893,-70.746956,165.5267,
650,165.50774,-174.69016,-70.71516,165.50774,
652,165.50436,-174.68636,-70.690125,165.50436,
674,165.50371,-174.6838,-70.67486,165.50371,
676,165.51154,-174.68234,-70.66396,165.51154,
685,165.52664,-174.67949,-70.65614,165.52664,
697,165.54672,-174.6808,-70.654594,165.54672,
708,165.55927,-174.67796,-70.65771,165.55927,
722,165.56798,-174.67526,-70.673416,165.56798,
730,165.58891,-174.67473,-70.701584,165.58891,
732,165.64029,-174.68565,-70.72943,165.64029,
740,165.71788,-174.70273,-70.75375,165.71788,
756,165.79553,-174.71997,-70.772865,165.79553,
765,165.86404,-174.7353,-70.78619,165.86404,
776,165.92079,-174.74812,-70.79314,165.92079,
786,165.9691,-174.75922,-70.79314,165.9691,
797,166.01236,-174.76936,-70.786766,166.01236,
807,166.0565,-174.7799,-70.77459,166.0565,
809,166.09328,-174.78893,-70.757195,166.09328,
831,166.15068,-174.81105,-70.772675,166.15068,
833,166.19249,-174.82617,-70.75129,166.19249,
852,166.22491,-174.83957,-70.730064,166.22491,
853,166.23259,-174.84985,-70.70981,166.23259,
863,166.22421,-174.85764,-70.69351,166.22421,
875,166.20393,-174.86148,-70.68173,166.20393,
886,166.19159,-174.86713,-70.675545,166.19159,
887,166.20364,-174.87856,-70.6788,166.20364,
898,166.21631,-174.89056,-70.68222,166.21631,
908,166.24533,-174.90549,-70.6853,166.24533,
932,166.27946,-174.9204,-70.69793,166.27946,
933,166.327,-174.94002,-70.68834,166.327,
944,166.38336,-174.96046,-70.692535,166.38336,
953,166.4339,-174.97812,-70.70503,166.4339,
965,166.4816,-174.99443,-70.73228,166.4816,
975,166.52023,-175.00859,-70.76068,166.52023,
977,166.554,-175.02159,-70.79026,166.554,
1001,166.58463,-175.03345,-70.81968,166.58463,
1002,166.61583,-175.04587,-70.84925,166.61583,
1009,166.64006,-175.05713,-70.8784,166.64006,
1020,166.65273,-175.06612,-70.90545,166.65273,
1036,166.67477,-175.07645,-70.934456,166.67477,
1043,166.70737,-175.08842,-70.9626,166.70737,
1059,166.74776,-175.10199,-70.98893,166.74776,
1061,166.79346,-175.11246,-71.01177,166.79346,
1067,166.84148,-175.12325,-71.032135,166.84148,
1088,166.88646,-175.1331,-71.05235,166.88646,
1089,166.92537,-175.14146,-71.07224,166.92537,
1098,166.95917,-175.14856,-71.09179,166.95917,
1110,166.99277,-175.16061,-71.10972,166.99277,
1121,167.02046,-175.16649,-71.125275,167.02046,
1133,167.04747,-175.17218,-71.14178,167.04747,
1136,167.07283,-175.17773,-71.15595,167.07283,
1146,167.10568,-175.18517,-71.16843,167.10568,
1157,167.13884,-175.19295,-71.17946,167.13884,
1168,167.17213,-175.20146,-71.189514,167.17213,
1181,167.21292,-175.21252,-71.199615,167.21292,
1192,167.26398,-175.22539,-71.209465,167.26398,
1202,167.31116,-175.23642,-71.21241,167.31116,
1211,167.35298,-175.25053,-71.21702,167.35298,
1213,167.37898,-175.26164,-71.220825,167.37898,
1222,167.38603,-175.2686,-71.223724,167.38603,
1233,167.39337,-175.27567,-71.226105,167.39337,
1266,167.39337,-175.27567,-71.22617,167.39337,
1268,167.40431,-175.27823,-71.22626,167.40431,
1269,167.42108,-175.28214,-71.2264,167.42108,
1295,167.46283,-175.29268,-71.2271,167.46283,
1302,167.50333,-175.30305,-71.22758,167.50333,
1304,167.55576,-175.31589,-71.227844,167.55576,
1317,167.61182,-175.3293,-71.22786,167.61182,
1335,167.66365,-175.3417,-71.227325,167.66365,
1338,167.71391,-175.35344,-71.22644,167.71391,
1347,167.7547,-175.36281,-71.22561,167.7547,
1358,167.78136,-175.36896,-71.22417,167.78136,
1369,167.80511,-175.3745,-71.22913,167.80511,
1381,167.82585,-175.37904,-71.234375,167.82585,
1383,167.83478,-175.38034,-71.2402,167.83478,
1392,167.83463,-175.3795,-71.24758,167.83463,
1404,167.82553,-175.37704,-71.25656,167.82553,
1416,167.8266,-175.37704,-71.26528,167.8266,
1427,167.82758,-175.37704,-71.27347,167.82758,
1439,167.82857,-175.37704,-71.28164,167.82857,
1450,167.82935,-175.37704,-71.288086,167.82935,
1460,167.83034,-175.37721,-71.29459,167.83034,
1463,167.83195,-175.37785,-71.30072,167.83195,
1473,167.8332,-175.37877,-71.3012,167.8332,
1486,167.83391,-175.37927,-71.30146,167.83391,
1505,167.83424,-175.3795,-71.301735,167.83424,
1507,167.83426,-175.37952,-71.30185,167.83426,
1516,167.82588,-175.37756,-71.30197,167.82588,
1543,167.80185,-175.37212,-71.30198,167.80185,
1549,167.78683,-175.36865,-71.30182,167.78683,
1553,167.76355,-175.36333,-71.301735,167.76355,
1560,167.73787,-175.35751,-71.30172,167.73787,
1572,167.71141,-175.35153,-71.301704,167.71141,
1583,167.68678,-175.34596,-71.30746,167.68678,
1595,167.67053,-175.34233,-71.31337,167.67053,
1606,167.6612,-175.3405,-71.31365,167.6612,
1617,167.66136,-175.34062,-71.31378,167.66136,
1623,167.66135,-175.34062,-71.31384,167.66135,
1628,167.66133,-175.3406,-71.31385,167.66133,
1640,167.65315,-175.33871,-71.31372,167.65315,
1651,167.64555,-175.33684,-71.319435,167.64555,
1662,167.63634,-175.33458,-71.32511,167.63634,
1673,167.62474,-175.3318,-71.33125,167.62474,
1685,167.60979,-175.32819,-71.3381,167.60979,
1698,167.58913,-175.32332,-71.345085,167.58913,
1699,167.56517,-175.3177,-71.35213,167.56517,
1707,167.54901,-175.31367,-71.36299,167.54901,
1718,167.52672,-175.3083,-71.371315,167.52672,
1729,167.50566,-175.30301,-71.37887,167.50566,
1742,167.48418,-175.29753,-71.3894,167.48418,
1752,167.45842,-175.2915,-71.399734,167.45842,
1763,167.43958,-175.2871,-71.411194,167.43958,
1777,167.4201,-175.28252,-71.42398,167.4201,
1786,167.39658,-175.27701,-71.43771,167.39658,
1788,167.37286,-175.27132,-71.45215,167.37286,
1797,167.34453,-175.26453,-71.465836,167.34453,
1808,167.31178,-175.25665,-71.48202,167.31178,
1819,167.27827,-175.24867,-71.497765,167.27827,
1831,167.25424,-175.24277,-71.511795,167.25424,
1854,167.22768,-175.23622,-71.526665,167.22768,
1857,167.20401,-175.23026,-71.53984,167.20401,
1860,167.18047,-175.22433,-71.5536,167.18047,
1866,167.15388,-175.21803,-71.5657,167.15388,
1877,167.13208,-175.2132,-71.577446,167.13208,
1888,167.12054,-175.21097,-71.58825,167.12054,
1901,167.12335,-175.2123,-71.5977,167.12335,
1911,167.12636,-175.21368,-71.60837,167.12636,
1922,167.12909,-175.215,-71.61789,167.12909,
1938,167.11156,-175.21172,-71.61976,167.11156,
1957,167.09085,-175.2078,-71.62161,167.09085,
